county,N,V,total_precincts,reported_precincts,precinct_diff
HARRIS,OTH,16549,1013,1,1012
HARRIS,TRUMP,601206,1013,1,1012
HARRISON,BIDEN,0,27,0,27
HARRISON,OTH,0,27,0,27
HARRISON,TRUMP,0,27,0,27
HARTLEY,BIDEN,195,7,7,0
HARTLEY,OTH,15,7,7,0
HARTLEY,TRUMP,1866,7,7,0
HASKELL,BIDEN,0,5,0,5
HASKELL,OTH,0,5,0,5
HASKELL,TRUMP,0,5,0,5
HAYS,BIDEN,54200,69,1,68
HAYS,OTH,1724,69,1,68
HAYS,TRUMP,42289,69,1,68
HEMPHILL,BIDEN,153,9,1,8
HEMPHILL,OTH,15,9,1,8
HEMPHILL,TRUMP,1007,9,1,8
HENDERSON,BIDEN,0,28,0,28
HENDERSON,OTH,0,28,0,28
HENDERSON,TRUMP,0,28,0,28
HIDALGO,BIDEN,110288,256,1,255
HIDALGO,OTH,1726,256,1,255
HIDALGO,TRUMP,74728,256,1,255
HILL,BIDEN,0,22,0,22
HILL,OTH,0,22,0,22
HILL,TRUMP,0,22,0,22
HOCKLEY,BIDEN,1157,15,1,14
HOCKLEY,OTH,44,15,1,14
HOCKLEY,TRUMP,5114,15,1,14
HOOD,BIDEN,5605,16,16,0
HOOD,OTH,386,16,16,0
HOOD,TRUMP,26243,16,16,0
HOPKINS,BIDEN,3043,22,22,0
HOPKINS,OTH,176,22,22,0
HOPKINS,TRUMP,12713,22,22,0
HOUSTON,BIDEN,406,22,1,21
HOUSTON,OTH,1,22,1,21
HOUSTON,TRUMP,442,22,1,21
HOWARD,BIDEN,1704,27,27,0
HOWARD,OTH,81,27,27,0
HOWARD,TRUMP,6461,27,27,0
HUDSPETH,BIDEN,0,5,0,5
HUDSPETH,OTH,0,5,0,5
HUDSPETH,TRUMP,0,5,0,5
HUNT,BIDEN,0,34,0,34
HUNT,OTH,0,34,0,34
HUNT,TRUMP,0,34,0,34
HUTCHINSON,BIDEN,957,9,9,0
HUTCHINSON,OTH,125,9,9,0
HUTCHINSON,TRUMP,7659,9,9,0
IRION,BIDEN,120,5,5,0
IRION,OTH,10,5,5,0
IRION,TRUMP,759,5,5,0
JACK,BIDEN,331,7,7,0
JACK,OTH,33,7,7,0
JACK,TRUMP,3415,7,7,0
JACKSON,BIDEN,1018,10,10,0
JACKSON,OTH,76,10,10,0
JACKSON,TRUMP,5116,10,10,0
JASPER,BIDEN,2484,21,1,20
JASPER,OTH,76,21,1,20
JASPER,TRUMP,10145,21,1,20
JEFF DAVIS,BIDEN,501,6,6,0
JEFF DAVIS,OTH,20,6,6,0
JEFF DAVIS,TRUMP,783,6,6,0
JEFFERSON,BIDEN,45979,140,139,1
JEFFERSON,OTH,1108,140,139,1
JEFFERSON,TRUMP,47514,140,139,1
JIM HOGG,BIDEN,1197,6,6,0
JIM HOGG,OTH,6,6,6,0
JIM HOGG,TRUMP,831,6,6,0
JIM WELLS,BIDEN,0,22,0,22
JIM WELLS,OTH,0,22,0,22
JIM WELLS,TRUMP,0,22,0,22
JOHNSON,BIDEN,14324,36,1,35
JOHNSON,OTH,697,36,1,35
JOHNSON,TRUMP,46104,36,1,35
JONES,BIDEN,989,12,12,0
JONES,OTH,81,12,12,0
JONES,TRUMP,5621,12,12,0
KARNES,BIDEN,1220,15,15,0
KARNES,OTH,50,15,15,0
KARNES,TRUMP,3959,15,15,0
KAUFMAN,BIDEN,17002,31,14,17
KAUFMAN,OTH,598,31,14,17
KAUFMAN,TRUMP,34709,31,14,17
KENDALL,BIDEN,5534,11,0,11
KENDALL,OTH,259,11,0,11
KENDALL,TRUMP,17730,11,0,11
KENEDY,BIDEN,65,6,6,0
KENEDY,OTH,2,6,6,0
KENEDY,TRUMP,127,6,6,0
KENT,BIDEN,47,7,7,0
KENT,OTH,4,7,7,0
KENT,TRUMP,411,7,7,0
KERR,BIDEN,6170,21,11,10
KERR,OTH,297,21,11,10
KERR,TRUMP,19687,21,11,10
KIMBLE,BIDEN,284,8,8,0
KIMBLE,OTH,21,8,8,0
KIMBLE,TRUMP,1987,8,8,0
KING,BIDEN,8,5,5,0
KING,OTH,0,5,5,0
KING,TRUMP,151,5,5,0
KINNEY,BIDEN,446,4,4,0
KINNEY,OTH,13,4,4,0
KINNEY,TRUMP,1144,4,4,0
KLEBERG,BIDEN,5359,18,18,0
KLEBERG,OTH,125,18,18,0
KLEBERG,TRUMP,5557,18,18,0
KNOX,BIDEN,265,7,7,0
KNOX,OTH,11,7,7,0
KNOX,TRUMP,1180,7,7,0
LAMAR,BIDEN,4420,27,27,0
LAMAR,OTH,220,27,27,0
LAMAR,TRUMP,16698,27,27,0
LAMB,BIDEN,0,12,0,12
LAMB,OTH,0,12,0,12
LAMB,TRUMP,0,12,0,12
LAMPASAS,BIDEN,2134,10,10,0
LAMPASAS,OTH,169,10,10,0
LAMPASAS,TRUMP,8070,10,10,0
LASALLE,BIDEN,1052,5,5,0
LASALLE,OTH,19,5,5,0
LASALLE,TRUMP,1335,5,5,0
LAVACA,BIDEN,305,20,1,19
LAVACA,OTH,5,20,1,19
LAVACA,TRUMP,595,20,1,19
LEE,BIDEN,1472,16,1,15
LEE,OTH,55,16,1,15
LEE,TRUMP,5021,16,1,15
LEON,BIDEN,1072,18,18,0
LEON,OTH,78,18,18,0
LEON,TRUMP,7522,18,18,0
LIBERTY,BIDEN,5362,30,18,12
LIBERTY,OTH,215,30,18,12
LIBERTY,TRUMP,21669,30,18,12
LIMESTONE,BIDEN,2213,21,21,0
LIMESTONE,OTH,93,21,21,0
LIMESTONE,TRUMP,6786,21,21,0
LIPSCOMB,BIDEN,131,7,7,0
LIPSCOMB,OTH,17,7,7,0
LIPSCOMB,TRUMP,1203,7,7,0
LIVE OAK,BIDEN,169,15,11,4
LIVE OAK,OTH,13,15,11,4
LIVE OAK,TRUMP,931,15,11,4
LLANO,BIDEN,0,10,0,10
LLANO,OTH,0,10,0,10
LLANO,TRUMP,0,10,0,10
LOVING,BIDEN,4,5,5,0
LOVING,OTH,2,5,5,0
LOVING,TRUMP,60,5,5,0
LUBBOCK,BIDEN,35094,98,1,97
LUBBOCK,OTH,1438,98,1,97
LUBBOCK,TRUMP,69732,98,1,97
LYNN,BIDEN,428,15,15,0
LYNN,OTH,12,15,15,0
LYNN,TRUMP,1853,15,15,0
MADISON,BIDEN,1084,5,5,0
MADISON,OTH,40,5,5,0
MADISON,TRUMP,4165,5,5,0
MARION,BIDEN,1331,10,10,0
MARION,OTH,54,10,10,0
MARION,TRUMP,3459,10,10,0
MARTIN,BIDEN,288,6,6,0
MARTIN,OTH,15,6,6,0
MARTIN,TRUMP,1857,6,6,0
MASON,BIDEN,566,5,5,0
MASON,OTH,26,5,5,0
MASON,TRUMP,2108,5,5,0
MATAGORDA,BIDEN,3726,19,19,0
MATAGORDA,OTH,148,19,19,0
MATAGORDA,TRUMP,9836,19,19,0
MAVERICK,BIDEN,0,14,0,14
MAVERICK,OTH,0,14,0,14
MAVERICK,TRUMP,0,14,0,14
MCCULLOCH,BIDEN,490,4,4,0
MCCULLOCH,OTH,42,4,4,0
MCCULLOCH,TRUMP,2898,4,4,0
MCLENNAN,BIDEN,34197,92,1,91
MCLENNAN,OTH,1455,92,1,91
MCLENNAN,TRUMP,54831,92,1,91
MCMULLEN,BIDEN,53,5,5,0
MCMULLEN,OTH,3,5,5,0
MCMULLEN,TRUMP,460,5,5,0
MEDINA,BIDEN,6731,8,8,0
MEDINA,OTH,238,8,8,0
MEDINA,TRUMP,15599,8,8,0
MENARD,BIDEN,196,7,7,0
MENARD,OTH,8,7,7,0
MENARD,TRUMP,819,7,7,0
MIDLAND,BIDEN,12258,45,45,0
MIDLAND,OTH,899,45,45,0
MIDLAND,TRUMP,45463,45,45,0
MILAM,BIDEN,2475,12,12,0
MILAM,OTH,98,12,12,0
MILAM,TRUMP,7950,12,12,0
MILLS,BIDEN,271,8,8,0
MILLS,OTH,17,8,8,0
MILLS,TRUMP,2214,8,8,0
MITCHELL,BIDEN,397,7,7,0
MITCHELL,OTH,12,7,7,0
MITCHELL,TRUMP,2169,7,7,0
MONTAGUE,BIDEN,1097,16,16,0
MONTAGUE,OTH,102,16,16,0
MONTAGUE,TRUMP,8613,16,16,0
MONTGOMERY,BIDEN,65635,101,92,9
MONTGOMERY,OTH,2842,101,92,9
MONTGOMERY,TRUMP,169246,101,92,9
MOORE,BIDEN,565,8,8,0
MOORE,OTH,36,8,8,0
MOORE,TRUMP,3152,8,8,0
MORRIS,BIDEN,0,9,0,9
MORRIS,OTH,0,9,0,9
MORRIS,TRUMP,0,9,0,9
MOTLEY,BIDEN,46,7,7,0
MOTLEY,OTH,2,7,7,0
MOTLEY,TRUMP,604,7,7,0
NACOGDOCHES,BIDEN,8989,26,26,0
NACOGDOCHES,OTH,407,26,26,0
NACOGDOCHES,TRUMP,17359,26,26,0
NAVARRO,BIDEN,0,30,0,30
NAVARRO,OTH,0,30,0,30
NAVARRO,TRUMP,0,30,0,30
NEWTON,BIDEN,0,23,0,23
NEWTON,OTH,0,23,0,23
NEWTON,TRUMP,0,23,0,23
NOLAN,BIDEN,1161,10,10,0
NOLAN,OTH,64,10,10,0
NOLAN,TRUMP,4127,10,10,0
NUECES,BIDEN,53921,128,1,127
NUECES,OTH,1373,128,1,127
NUECES,TRUMP,55697,128,1,127
OCHILTREE,BIDEN,302,5,5,0
OCHILTREE,OTH,42,5,5,0
OCHILTREE,TRUMP,2811,5,5,0
OLDHAM,BIDEN,81,8,8,0
OLDHAM,OTH,11,8,8,0
OLDHAM,TRUMP,917,8,8,0
ORANGE,BIDEN,5487,35,1,34
ORANGE,OTH,352,35,1,34
ORANGE,TRUMP,24655,35,1,34
PALO PINTO,BIDEN,2177,28,28,0
PALO PINTO,OTH,131,28,28,0
PALO PINTO,TRUMP,10170,28,28,0
PANOLA,BIDEN,0,20,0,20
PANOLA,OTH,0,20,0,20
PANOLA,TRUMP,0,20,0,20
PARKER,BIDEN,12789,44,44,0
PARKER,OTH,1061,44,44,0
PARKER,TRUMP,61584,44,44,0
PARMER,BIDEN,207,10,1,9
PARMER,OTH,7,10,1,9
PARMER,TRUMP,1102,10,1,9
PECOS,BIDEN,1378,10,10,0
PECOS,OTH,72,10,10,0
PECOS,TRUMP,3213,10,10,0
POLK,BIDEN,5353,22,22,0
POLK,OTH,223,22,22,0
POLK,TRUMP,18496,22,22,0
POTTER,BIDEN,9867,25,25,0
POTTER,OTH,578,25,25,0
POTTER,TRUMP,22732,25,25,0
PRESIDIO,BIDEN,1463,8,8,0
PRESIDIO,OTH,33,8,8,0
PRESIDIO,TRUMP,721,8,8,0
RAINS,BIDEN,668,9,1,8
RAINS,OTH,50,9,1,8
RAINS,TRUMP,4831,9,1,8
RANDALL,BIDEN,12750,23,23,0
RANDALL,OTH,1072,23,23,0
RANDALL,TRUMP,50597,23,23,0
REAGAN,BIDEN,172,5,5,0
REAGAN,OTH,10,5,5,0
REAGAN,TRUMP,942,5,5,0
REAL,BIDEN,320,6,6,0
REAL,OTH,19,6,6,0
REAL,TRUMP,1643,6,6,0
RED RIVER,BIDEN,1244,20,20,0
RED RIVER,OTH,43,20,20,0
RED RIVER,TRUMP,4513,20,20,0
REEVES,BIDEN,0,12,0,12
REEVES,OTH,0,12,0,12
REEVES,TRUMP,0,12,0,12
REFUGIO,BIDEN,832,11,1,10
REFUGIO,OTH,31,11,1,10
REFUGIO,TRUMP,1669,11,1,10
ROBERTS,BIDEN,17,5,5,0
ROBERTS,OTH,4,5,5,0
ROBERTS,TRUMP,529,5,5,0
ROBERTSON,BIDEN,2359,16,16,0
ROBERTSON,OTH,90,16,16,0
ROBERTSON,TRUMP,5631,16,16,0
ROCKWALL,BIDEN,16252,18,1,17
ROCKWALL,OTH,731,18,1,17
ROCKWALL,TRUMP,36537,18,1,17
RUNNELS,BIDEN,531,11,11,0
RUNNELS,OTH,49,11,11,0
RUNNELS,TRUMP,3682,11,11,0
RUSK,BIDEN,4624,23,23,0
RUSK,OTH,213,23,23,0
RUSK,TRUMP,16511,23,23,0
SABINE,BIDEN,662,9,9,0
SABINE,OTH,32,9,9,0
SABINE,TRUMP,4767,9,9,0
SAN AUGUSTINE,BIDEN,979,12,12,0
SAN AUGUSTINE,OTH,14,12,12,0
SAN AUGUSTINE,TRUMP,3005,12,12,0
SAN JACINTO,BIDEN,2332,12,12,0
SAN JACINTO,OTH,142,12,12,0
SAN JACINTO,TRUMP,10154,12,12,0
SAN PATRICIO,BIDEN,8971,26,26,0
SAN PATRICIO,OTH,384,26,26,0
SAN PATRICIO,TRUMP,16495,26,26,0
SAN SABA,BIDEN,287,4,4,0
SAN SABA,OTH,7,4,4,0
SAN SABA,TRUMP,2308,4,4,0
SCHLEICHER,BIDEN,211,5,5,0
SCHLEICHER,OTH,8,5,5,0
SCHLEICHER,TRUMP,939,5,5,0
SCURRY,BIDEN,818,12,12,0
SCURRY,OTH,69,12,12,0
SCURRY,TRUMP,4978,12,12,0
SHACKELFORD,BIDEN,130,8,1,7
SHACKELFORD,OTH,14,8,1,7
SHACKELFORD,TRUMP,1484,8,1,7
SHELBY,BIDEN,2058,15,15,0
SHELBY,OTH,43,15,15,0
SHELBY,TRUMP,7962,15,15,0
SHERMAN,BIDEN,91,5,5,0
SHERMAN,OTH,14,5,5,0
SHERMAN,TRUMP,885,5,5,0
SMITH,BIDEN,22324,74,73,1
SMITH,OTH,994,74,73,1
SMITH,TRUMP,59490,74,73,1
SOMERVELL,BIDEN,768,4,4,0
SOMERVELL,OTH,73,4,4,0
SOMERVELL,TRUMP,4099,4,4,0
STARR,BIDEN,9099,10,10,0
STARR,OTH,155,10,10,0
STARR,TRUMP,8224,10,10,0
STEPHENS,BIDEN,396,9,9,0
STEPHENS,OTH,18,9,9,0
STEPHENS,TRUMP,3385,9,9,0
STERLING,BIDEN,0,4,0,4
STERLING,OTH,0,4,0,4
STERLING,TRUMP,0,4,0,4
STONEWALL,BIDEN,116,4,4,0
STONEWALL,OTH,5,4,4,0
STONEWALL,TRUMP,615,4,4,0
SUTTON,BIDEN,322,5,5,0
SUTTON,OTH,13,5,5,0
SUTTON,TRUMP,1222,5,5,0
SWISHER,BIDEN,478,9,9,0
SWISHER,OTH,33,9,9,0
SWISHER,TRUMP,1842,9,9,0
TARRANT,BIDEN,353312,730,1,729
TARRANT,OTH,10281,730,1,729
TARRANT,TRUMP,354917,730,1,729
TAYLOR,BIDEN,13373,35,35,0
TAYLOR,OTH,865,35,35,0
TAYLOR,TRUMP,35760,35,35,0
TERRELL,BIDEN,119,5,5,0
TERRELL,OTH,5,5,5,0
TERRELL,TRUMP,334,5,5,0
TERRY,BIDEN,0,8,0,8
TERRY,OTH,0,8,0,8
TERRY,TRUMP,0,8,0,8
THROCKMORTON,BIDEN,0,6,0,6
THROCKMORTON,OTH,0,6,0,6
THROCKMORTON,TRUMP,0,6,0,6
TITUS,BIDEN,2465,19,18,1
TITUS,OTH,110,19,18,1
TITUS,TRUMP,7149,19,18,1
TOM GREEN,BIDEN,9615,35,1,34
TOM GREEN,OTH,383,35,1,34
TOM GREEN,TRUMP,23291,35,1,34
TRAVIS,BIDEN,402495,248,1,247
TRAVIS,OTH,8804,248,1,247
TRAVIS,TRUMP,139891,248,1,247
TRINITY,BIDEN,145,20,1,19
TRINITY,OTH,2,20,1,19
TRINITY,TRUMP,211,20,1,19
TYLER,BIDEN,1180,18,18,0
TYLER,OTH,43,18,18,0
TYLER,TRUMP,6529,18,18,0
UPSHUR,BIDEN,2869,22,22,0
UPSHUR,OTH,206,22,22,0
UPSHUR,TRUMP,15775,22,22,0
