county,id,N,P,V,PE,total_precincts,reported_precincts
FRANKLIN,9240,TRUMP,REP,0,0.0,9,0
FRANKLIN,9160,BIDEN,DEM,0,0.0,9,0
FREESTONE,9240,TRUMP,REP,0,0.0,16,0
FREESTONE,9160,BIDEN,DEM,0,0.0,16,0
FRIO,9240,TRUMP,REP,0,0.0,10,0
FRIO,9160,BIDEN,DEM,0,0.0,10,0
GAINES,9240,TRUMP,REP,0,0.0,9,0
GAINES,9160,BIDEN,DEM,0,0.0,9,0
GALVESTON,9240,TRUMP,REP,0,0.0,93,0
GALVESTON,9160,BIDEN,DEM,0,0.0,93,0
GARZA,9240,TRUMP,REP,0,0.0,7,0
GARZA,9160,BIDEN,DEM,0,0.0,7,0
GILLESPIE,9240,TRUMP,REP,0,0.0,14,0
GILLESPIE,9160,BIDEN,DEM,0,0.0,14,0
GLASSCOCK,9240,TRUMP,REP,0,0.0,5,0
GLASSCOCK,9160,BIDEN,DEM,0,0.0,5,0
GOLIAD,9240,TRUMP,REP,0,0.0,10,0
GOLIAD,9160,BIDEN,DEM,0,0.0,10,0
GONZALES,9240,TRUMP,REP,0,0.0,16,0
GONZALES,9160,BIDEN,DEM,0,0.0,16,0
GRAY,9240,TRUMP,REP,0,0.0,8,0
GRAY,9160,BIDEN,DEM,0,0.0,8,0
GRAYSON,9240,TRUMP,REP,0,0.0,37,0
GRAYSON,9160,BIDEN,DEM,0,0.0,37,0
GREGG,9240,TRUMP,REP,0,0.0,22,0
GREGG,9160,BIDEN,DEM,0,0.0,22,0
GRIMES,9240,TRUMP,REP,0,0.0,15,0
GRIMES,9160,BIDEN,DEM,0,0.0,15,0
GUADALUPE,9240,TRUMP,REP,0,0.0,72,0
GUADALUPE,9160,BIDEN,DEM,0,0.0,72,0
HALE,9240,TRUMP,REP,0,0.0,31,0
HALE,9160,BIDEN,DEM,0,0.0,31,0
HALL,9240,TRUMP,REP,0,0.0,5,0
HALL,9160,BIDEN,DEM,0,0.0,5,0
HAMILTON,9240,TRUMP,REP,0,0.0,12,0
HAMILTON,9160,BIDEN,DEM,0,0.0,12,0
HANSFORD,9240,TRUMP,REP,0,0.0,8,0
HANSFORD,9160,BIDEN,DEM,0,0.0,8,0
HARDEMAN,9240,TRUMP,REP,0,0.0,4,0
HARDEMAN,9160,BIDEN,DEM,0,0.0,4,0
HARDIN,9240,TRUMP,REP,0,0.0,20,0
HARDIN,9160,BIDEN,DEM,0,0.0,20,0
HARRIS,9240,TRUMP,REP,0,0.0,1013,0
HARRIS,9160,BIDEN,DEM,0,0.0,1013,0
HARRISON,9240,TRUMP,REP,0,0.0,27,0
HARRISON,9160,BIDEN,DEM,0,0.0,27,0
HARTLEY,9240,TRUMP,REP,0,0.0,7,0
HARTLEY,9160,BIDEN,DEM,0,0.0,7,0
HASKELL,9240,TRUMP,REP,0,0.0,5,0
HASKELL,9160,BIDEN,DEM,0,0.0,5,0
HAYS,9240,TRUMP,REP,0,0.0,69,0
HAYS,9160,BIDEN,DEM,0,0.0,69,0
HEMPHILL,9240,TRUMP,REP,0,0.0,9,0
