County,REP,DEM,OTH
LEE,"4,487","1,322",38
LEON,"5,711",855,23
LIBERTY,"16,041","4,421",114
LIMESTONE,"5,211","1,672",33
LIPSCOMB,942,116,9
LIVE OAK,"3,029",601,21
LLANO,"7,954","2,124",76
LOVING,47,6,1
LUBBOCK,"58,780","32,068",731
LYNN,"1,369",323,5
MADISON,"3,033",780,18
MARION,"2,448","1,018",31
MARTIN,"1,297",243,14
MASON,"1,560",402,5
MATAGORDA,"7,330","3,049",78
MAVERICK,"2,951","7,727",98
MCCULLOCH,"2,245",400,26
MCLENNAN,"45,855","28,452",568
MCMULLEN,387,41,2
MEDINA,"11,444","4,621",114
MENARD,632,145,6
MIDLAND,"32,867","9,723",365
MILAM,"5,922","1,997",68
MILLS,"1,764",229,11
MITCHELL,"1,585",323,5
MONTAGUE,"6,424",941,56
MONTGOMERY,"137,395","51,268","1,433"
MOORE,"3,248",787,25
MORRIS,"2,953","1,260",21
MOTLEY,483,40,4
NACOGDOCHES,"13,775","7,732",126
NAVARRO,"10,391","3,918",107
NEWTON,"3,660",993,23
NOLAN,"3,120",928,26
NUECES,"45,956","47,392",719
OCHILTREE,"2,160",230,25
OLDHAM,732,82,2
ORANGE,"21,164","5,050",118
PALO PINTO,"7,547","1,837",46
PANOLA,"7,120","1,598",31
PARKER,"44,071","9,956",468
PARMER,"1,675",372,10
PECOS,"2,161","1,339",20
POLK,"12,794","3,850",106
POTTER,"16,689","7,521",214
PRESIDIO,436,"1,221",10
RAINS,"3,702",681,23
RANDALL,"38,479","9,613",363
REAGAN,692,136,6
REAL,"1,311",245,8
RED RIVER,"3,427",973,18
REEVES,"1,128","1,255",15
REFUGIO,"1,636",847,9
ROBERTS,441,19,0
ROBERTSON,"4,295","1,942",31
ROCKWALL,"26,615","11,754",330
RUNNELS,"2,842",385,7
RUSK,"12,597","3,609",76
SABINE,"3,456",496,15
SAN AUGUSTINE,"2,266",734,16
SAN JACINTO,"7,499","1,785",55
SAN PATRICIO,"11,335","6,777",107
SAN SABA,"1,811",247,11
SCHLEICHER,735,209,8
SCURRY,"3,705",642,16
SHACKELFORD,"1,174",103,4
SHELBY,"6,008","1,521",32
SHERMAN,692,87,43
SMITH,"53,760","23,182",458
SOMERVELL,"3,033",633,25
STARR,"2,443","8,273",68
STEPHENS,"2,631",324,13
STERLING,442,44,0
STONEWALL,497,112,5
SUTTON,934,265,7
SWISHER,"1,461",420,14
TARRANT,"309,189","313,497","5,208"
TAYLOR,"29,811","10,489",357
TERRELL,323,139,5
TERRY,"2,169",629,15
THROCKMORTON,617,77,9
TITUS,"5,685","2,265",55
TOM GREEN,"24,648","9,690",292
TRAVIS,"119,278","359,772","5,154"
TRINITY,"4,146",998,31
TYLER,"5,919","1,185",35
UPSHUR,"11,529","2,364",91
UPTON,854,169,8
UVALDE,"4,348","3,528",59
VAL VERDE,"5,345","5,955",105
VAN ZANDT,"15,182","2,634",116
VICTORIA,"19,005","8,046",157
WALKER,"11,535","6,186",132
WALLER,"10,167","6,335",101
WARD,"2,096",800,24
WASHINGTON,"10,134","3,263",95
WEBB,"13,814","35,159",408
WHARTON,"9,094","3,793",55
WHEELER,"1,679",125,6
WICHITA,"23,648","9,971",299
WILBARGER,"2,639",776,24
WILLACY,"1,527","2,773",25
WILLIAMSON,"99,857","105,850","2,514"
WILSON,"13,025","4,567",127
WINKLER,"1,123",321,11
WISE,"19,023","3,915",179
WOOD,"13,987","2,635",118
YOAKUM,"1,558",335,10
YOUNG,"5,543",821,41
ZAPATA,821,"1,392",10
ZAVALA,589,"2,313",15
